movieTitle,tomatometer_rating,audience_rating
The Prince and the Pauper,67.0,63.0
The Prisoner of Zenda,100.0,80.0
The Prisoner,71.0,71.0
The Producers,90.0,85.0
Project X,75.0,55.0
Prom Night,48.0,35.0
Promised Land,53.0,46.0
Prophecy,24.0,36.0
The Protector,20.0,45.0
The Prowler,67.0,49.0
The Public Enemy,100.0,84.0
Pulse,62.0,30.0
Quo Vadis,88.0,73.0
A Raisin in the Sun,94.0,86.0
Raw Deal,23.0,28.0
The Razors Edge,71.0,72.0
The Razors Edge,50.0,77.0
Rear Window,99.0,95.0
Reckless,0.0,69.0
Red Dawn,46.0,65.0
Red Heat,67.0,37.0
The Red Shoes,97.0,92.0
Red Sonja,15.0,28.0
Monanieba Repentance,67.0,90.0
Return to Oz,53.0,71.0
Revenge,35.0,54.0
Rich and Famous,57.0,38.0
Risky Business,92.0,72.0
Road House,39.0,66.0
Robin Hood,54.0,81.0
RoboCop,90.0,84.0
Rock n Roll High School,81.0,75.0
Rocky,94.0,69.0
The Roman Spring of Mrs Stone,0.0,60.0
Romeo and Juliet,95.0,74.0
Rudolph the RedNosed Reindeer,95.0,84.0
Runaway,47.0,32.0
Running Scared,57.0,58.0
Sabotage,100.0,69.0
Sabrina,92.0,89.0
Sahara,100.0,86.0
Samson and Delilah,63.0,59.0
Scanners,70.0,64.0
Scarecrow,75.0,79.0
Scarface,98.0,86.0
Scrooge,74.0,84.0
The Sea Hawk,93.0,87.0
Second Sight,0.0,29.0
Blind Terror See No Evil,56.0,56.0
Separate Tables,69.0,76.0
Shadow of a Doubt,100.0,89.0
Shaft,88.0,68.0
The Shaggy Dog,68.0,48.0
Shakedown,63.0,40.0
Shall We Dance,89.0,85.0
The Shooting,100.0,65.0
Short Circuit,59.0,67.0
A Shot in the Dark,94.0,87.0
Show Boat,89.0,71.0
Silent Night Deadly Night,35.0,39.0
The Silent Partner,71.0,85.0
Silver Streak,81.0,71.0
Simon,57.0,69.0
Sinbad the Sailor,80.0,60.0
Skin Deep,38.0,56.0
Sleeping Beauty,89.0,80.0
Something to Sing About,83.0,29.0
Sorcerer,79.0,83.0
Sparkle,10.0,90.0
Spartacus,93.0,87.0
Splash,67.0,63.0
Spring Break,20.0,41.0
The Squeeze,14.0,29.0
The St Valentines Day Massacre,89.0,66.0
Stagecoach,100.0,86.0
Stage Fright,90.0,68.0
Stakeout,88.0,56.0
A Star Is Born,100.0,78.0
A Star Is Born,98.0,82.0
A Star is Born,36.0,64.0
101 Dalmatians,98.0,76.0
101 Dalmatians II Patchs London Adventure,67.0,41.0
The Sting,94.0,95.0
The Stranger,96.0,81.0
A Streetcar Named Desire,98.0,90.0
Suddenly,100.0,63.0
Summer School,63.0,58.0
The Sundowners,75.0,62.0
The Sunshine Boys,71.0,73.0
Suspect,67.0,58.0
Suspicion,97.0,78.0
Svengali,83.0,80.0
Sweet Bird of Youth,72.0,72.0
Swing Time,97.0,87.0
Swiss Family Robinson,82.0,78.0
A Tale of Two Cities,92.0,84.0
The Taming of the Shrew,83.0,74.0
Target,71.0,35.0
Tarzan the Ape Man,10.0,19.0
Tempest,55.0,74.0
The Ten Commandments,83.0,73.0
The Ten Commandments,89.0,87.0
Tales of Terror,71.0,63.0
That Championship Season,71.0,50.0
Them,100.0,77.0
Shivers They Came from Within The Parasite Murders,84.0,59.0
They Drive by Night,92.0,71.0
Thief,94.0,81.0
The Thing from Another World,89.0,73.0
The Thing,85.0,92.0
Thirst,100.0,41.0
This Gun for Hire,93.0,82.0
Three Amigos,45.0,67.0
Tre Fratelli Three Brothers,100.0,60.0
The Three Musketeers,78.0,74.0
The Three Musketeers,86.0,78.0
The Time Machine,76.0,79.0
Tommy,70.0,72.0
The Toolbox Murders,0.0,30.0
Top Secret,77.0,80.0
I corpi presentano tracce di violenza carnale Torso Bodies Bear Traces of Carnal Violence,50.0,55.0
Touch of Evil,95.0,92.0
Tough Guys,57.0,55.0
Treasure Island,100.0,74.0
Treasure Island,100.0,67.0
Le Proces The Trial,83.0,87.0
The Trip,39.0,52.0
Twelve OClock High,96.0,87.0
Twins,43.0,39.0
Uncommon Valor,56.0,62.0
The Undefeated,29.0,65.0
Unfaithfully Yours,93.0,87.0
The Unforgiven,60.0,59.0
Valley Girl,83.0,72.0
Venom,43.0,31.0
Vice Versa,43.0,41.0
Victory,63.0,71.0
Village of the Damned,92.0,77.0
Walking Tall,75.0,71.0
The Warriors,90.0,88.0
Water,0.0,68.0
Were No Angels,47.0,41.0
Weird Science,57.0,69.0
When a Stranger Calls,41.0,49.0
Where the Boys Are,88.0,70.0
White Christmas,77.0,88.0
Willard,57.0,38.0
Winchester 73,100.0,86.0
Witness,93.0,80.0
A Womans Face,100.0,82.0
The Women,92.0,88.0
The Wrong Man,92.0,75.0
Wuthering Heights,96.0,85.0
Year of the Dragon,56.0,52.0
The Yearling,100.0,76.0
Yours Mine and Ours,50.0,80.0
Blue Steel,75.0,35.0
Where the Heart Is,10.0,58.0
The Guardian,30.0,32.0
Mystery Train,89.0,87.0
Revolution,10.0,32.0
Henry V,100.0,89.0
Kiss of Death,88.0,76.0
Conquest,100.0,50.0
Alice in Wonderland,81.0,78.0
My Blue Heaven,71.0,59.0
State Fair,83.0,78.0
Dick Tracy,63.0,53.0
Bombshell Blonde Bombshell,90.0,74.0
Navy Seals,19.0,42.0
Goodbye Mr Chips,100.0,71.0
102 Dalmatians,31.0,32.0
The Champ,90.0,74.0
Narrow Margin,57.0,50.0
Red Dust,100.0,78.0
Desperate Hours,36.0,23.0
Ghost,74.0,80.0
Memphis Belle,67.0,79.0
Faust,94.0,91.0
Gun Crazy Deadly Is the Female,98.0,84.0
The Jungle Book,88.0,82.0
The Long Goodbye,93.0,88.0
Houdini,85.0,59.0
Avalon,85.0,77.0
The Rookie,29.0,36.0
The Long Walk Home,87.0,84.0
Anastasia,91.0,78.0
Jane Eyre,100.0,83.0
The Pit and the Pendulum,56.0,39.0
GoodFellas,96.0,97.0
After Hours,89.0,87.0
White Fang,65.0,63.0
Boy Meets Girl 1984,100.0,73.0
Mata Hari,63.0,55.0
Alice,75.0,57.0
Hidden Agenda,85.0,72.0
The Connection,95.0,79.0
The Entertainer,77.0,73.0
Sorry Wrong Number,86.0,78.0
Awakenings,88.0,89.0
Diabolique Les Diaboliques,96.0,93.0
True Colors,47.0,45.0
Switch,32.0,43.0
The Field,43.0,81.0
Oscar,12.0,63.0
Night Nurse,86.0,73.0
Fury,100.0,89.0
Possessed,90.0,76.0
Born to Kill,83.0,75.0
